1942Williams	https://drive.google.com/uc?export=download&id=1XgBWnP6vHJ-pulKn5Ij6gBRjxjWyveOu	1942.0	2024-02-03 00:00:00	1.0	1942.zip	freeform adaptation of the NA Williams version of the cabinet	MAME 2003+	Crusher124/Dangermiaus - modeler: Curif/Crusher124/Dangermiaus
1943_alt2	https://drive.google.com/uc?export=download&id=1Js-E0wv4Pxpl4msHOAEZS_gwN8KyRGNr	1943.0	2024-02-17 00:00:00	1.0	1943.zip	lighted coinslot	MAME 2003+	Crusher124 - modeler: Crusher124
vsyard	https://drive.google.com/uc?export=download&id=1fxKrFP8kf-Q_ns5OY8-mijMS-RP4nJID	10-Yard Fight		1.0	vsyard.zip		MAME 2003+	Crusher124 - modeler: Crusher124
19xx	https://cdn.discordapp.com/attachments/1213219169760444416/1225377880112889916/19xx.zip?ex=67ed0495&is=67ebb315&hm=8099acdf5ea134dac0c5ec2a9b177a3ef24fb8c90fc1fbeceb75f1604eec8b03&	19xx	2024-04-04 00:00:00	1.0	19xx.zip		MAME 2003+	topbuzz - modeler: emunch
2020bb	https://drive.google.com/uc?export=download&id=1Opy5q-ma1IkRe1lZQlngmmyKVfRHGNZF	2020 Super Baseball	2023-05-25 00:00:00	1.0	2020bb.zip		MAME 2003+	PacketDevil - modeler: Elleby
3countb	https://drive.google.com/uc?export=download&id=1nFCj3P9cC5u2b_ZIw9SQieu5JccUTMRD	3 Count Bout	2023-05-25 00:00:00	1.0	3countb.zip		MAME 2003+	PacketDevil - modeler: Elleby
a3stooges	https://cdn.discordapp.com/attachments/1066438854090965043/1188593721005060178/a3stooges.zip?ex=67ed02ea&is=67ebb16a&hm=1496905bc113393d1e92aa0e55292f97dc39e03e92c8fc3b81b8358cdc498d51&	3 Stooges	2023-12-24 00:00:00	1.0	3stooges.zip		MAME 2003+	Aero - modeler: mAdbiLL
3wonders	https://cdn.discordapp.com/attachments/1066438854090965043/1134747236358688839/3Wonders.zip?ex=67ece537&is=67eb93b7&hm=c5f2f752dd3d33a5099aa04c9d88fdfe0619ddab4aa87b2ad3a1818ad14e255c&	3 Wonders	2023-07-29 00:00:00	1.0	3wonders.zip		MAME 2003+	ded head - modeler: curif
acrobatm	https://drive.google.com/uc?export=download&id=1HpOnsWuNdXd_KuqoF4Xha9Xr0jrSuHET	Acrobat Mission	2024-06-23 00:00:00	1.0	acrobatm		MAME 2003+	dmacell - modeler: dmacell
batmanTASmegacd	https://drive.google.com/uc?export=download&id=1C0NAZY7M3XMuf21WZbJKsqr9kpbapBnR	Adventures of Batman and Robin, The		1.0	Adventures of Batman and Robin, The (U).chd	YAML by Zydonian	picodrive	DangerMiaus - modeler: DangerMiaus
aerofgt	https://drive.google.com/uc?export=download&id=130525N9DDoDSH-HG3VBGhG4Frpi2dzaA	Aero Fighters	2024-05-26 00:00:00	1.0	aerofgt.zip		MAME 2003+	dmacell - modeler: emunch
sonicwi2	https://drive.google.com/uc?export=download&id=1Wd3hlxR2StkU-ii_nCFMnCLoMi-UPots	Aero Fighters 2	2023-05-25 00:00:00	1.0	sonicwi2.zip		MAME 2003+	PacketDevil - modeler: Elleby
aburner	https://drive.google.com/uc?export=download&id=1tc4E-98ev2Gf0-dTVzFQkDwTrbhDFDIt	After Burner	2023-05-14 00:00:00	1.0	aburner.zip	Upright cabinet variant	MAME 2003+	emunch - modeler: emunch
aburnerDX	https://drive.google.com/uc?export=download&id=1XcA4NJSEx0m3EezlRR7DhBzAPNlnFi3j	After Burner DX (sit-down version)	2023-08-24 00:00:00	1.0	aburner.zip		MAME 2003+	mAdbiLL - modeler: Spanner/mAdbiLL
Aburner_DLX	https://cdn.discordapp.com/attachments/1213219169760444416/1226724524586963067/Aburner_DLX.zip?ex=67ed4d7e&is=67ebfbfe&hm=33a13c0f4b01a7f76246b391d7be38cf32dc3d17e327811335d9128bfbdc76b6&	After Burner DX (sit-down version)	2024-04-07 00:00:00	1.0	aburner.zip	Features haptics and a movable flight stick.	MAME 2003+	Zydonian - modeler: ?/Zydonian
airbustr	https://drive.google.com/uc?export=download&id=1jGSld28sOE_-emxads-k8dhVr5wEwDdg	Air Buster	2024-04-14 00:00:00	1.0	airbustr.zip		MAME 2003+	topbuzz - modeler: Crusher124/topbuzz
airwolf	https://drive.google.com/uc?export=download&id=1JshQr4ObMIg8O2dvHh0CK9ShEyaq-bYD	Airwolf	2023-06-29 00:00:00	1.0	airwolf.zip		MAME 2003+	mAdbiLL - modeler: mAdbiLL
aladdin	https://cdn.discordapp.com/attachments/1213219169760444416/1218282313436106874/aladdin.zip?ex=67ece992&is=67eb9812&hm=e4e1b4771f125bc2d79f8a782ca03b068ee3dd382895963b34661ab18282d378&	Aladdin	2024-03-15 00:00:00	1.0	aladdin.zip/md_aladdin.zip		FB Neo	Baywilly - modeler: mAdbiLL
